Afghanistan,5,1,648,16,10,2
Albania,3,1,29,3,6,6
Algeria,4,1,2388,20,8,2
American-Samoa,6,3,0,0,1,1
Andorra,3,1,0,0,6,0
Angola,4,2,1247,7,10,5
Anguilla,1,4,0,0,1,1
Antigua-Barbuda,1,4,0,0,1,1
Argentina,2,3,2777,28,2,0
Argentina,2,3,2777,28,2,0
Australia,6,2,7690,15,1,1
Austria,3,1,84,8,4,0
Bahamas,1,4,19,0,1,1
Bahrain,5,1,1,0,8,2
Bangladesh,5,1,143,90,6,2
Barbados,1,4,0,0,1,1
Belgium,3,1,31,10,6,0
Belize,1,4,23,0,1,1
Benin,4,1,113,3,3,5
Bermuda,1,4,0,0,1,1
Bhutan,5,1,47,1,10,3
Bolivia,2,3,1099,6,2,0
Botswana,4,2,600,1,10,5
Brazil,2,3,8512,119,6,0
British-Virgin-Isles,1,4,0,0,1,1
Brunei,5,1,6,0,10,2
Bulgaria,3,1,111,9,5,6
Burkina,4,4,274,7,3,5
Burma,5,1,678,35,10,3
Burundi,4,2,28,4,10,5
Cameroon,4,1,474,8,3,1
Canada,1,4,9976,24,1,1
Cape-Verde-Islands,4,4,4,0,6,0
Cayman-Islands,1,4,0,0,1,1
Central-African-Republic,4,1,623,2,10,5
Chad,4,1,1284,4,3,5
Chile,2,3,757,11,2,0
China,5,1,9561,1008,7,6
Colombia,2,4,1139,28,2,0
Comorro-Islands,4,2,2,0,3,2
Congo,4,2,342,2,10,5
Cook-Islands,6,3,0,0,1,1
Costa-Rica,1,4,51,2,2,0
Cuba,1,4,115,10,2,6
Cyprus,3,1,9,1,6,1
Czechoslovakia,3,1,128,15,5,6
Denmark,3,1,43,5,6,1
Djibouti,4,1,22,0,3,2
Dominica,1,4,0,0,1,1
Dominican-Republic,1,4,49,6,2,0
Ecuador,2,3,284,8,2,0
Egypt,4,1,1001,47,8,2
El-Salvador,1,4,21,5,2,0
Equatorial-Guinea,4,1,28,0,10,5
Ethiopia,4,1,1222,31,10,1
Faeroes,3,4,1,0,6,1
Falklands-Malvinas,2,3,12,0,1,1
Fiji,6,2,18,1,1,1
Finland,3,1,337,5,9,1
France,3,1,547,54,3,0
French-Guiana,2,4,91,0,3,0
French-Polynesia,6,3,4,0,3,0
Gabon,4,2,268,1,10,5
Gambia,4,4,10,1,1,5
Germany-DDR,3,1,108,17,4,6
Germany-FRG,3,1,249,61,4,1
Ghana,4,4,239,14,1,5
Gibraltar,3,4,0,0,1,1
Greece,3,1,132,10,6,1
Greenland,1,4,2176,0,6,1
Grenada,1,4,0,0,1,1
Guam,6,1,0,0,1,1
Guatemala,1,4,109,8,2,0
Guinea,4,4,246,6,3,2
Guinea-Bissau,4,4,36,1,6,5
Guyana,2,4,215,1,1,4
Haiti,1,4,28,6,3,0
Honduras,1,4,112,4,2,0
Hong-Kong,5,1,1,5,7,3
Hungary,3,1,93,11,9,6
Iceland,3,4,103,0,6,1
India,5,1,3268,684,6,4
Indonesia,6,2,1904,157,10,2
Iran,5,1,1648,39,6,2
Iraq,5,1,435,14,8,2
Ireland,3,4,70,3,1,0
Israel,5,1,21,4,10,7
Italy,3,1,301,57,6,0
Ivory-Coast,4,4,323,7,3,5
Jamaica,1,4,11,2,1,1
Japan,5,1,372,118,9,7
Jordan,5,1,98,2,8,2
Kampuchea,5,1,181,6,10,3
Kenya,4,1,583,17,10,5
Kiribati,6,1,0,0,1,1
Kuwait,5,1,18,2,8,2
Laos,5,1,236,3,10,6
Lebanon,5,1,10,3,8,2
Lesotho,4,2,30,1,10,5
Liberia,4,4,111,1,10,5
Libya,4,1,1760,3,8,2
Liechtenstein,3,1,0,0,4,0
Luxembourg,3,1,3,0,4,0
Malagasy,4,2,587,9,10,1
Malawi,4,2,118,6,10,5
Malaysia,5,1,333,13,10,2
Maldive-Islands,5,1,0,0,10,2
Mali,4,4,1240,7,3,2
Malta,3,1,0,0,10,0
Marianas,6,1,0,0,10,1
Mauritania,4,4,1031,2,8,2
Mauritius,4,2,2,1,1,4
Mexico,1,4,1973,77,2,0
Micronesia,6,1,1,0,10,1
Monaco,3,1,0,0,3,0
Mongolia,5,1,1566,2,10,6
Montserrat,1,4,0,0,1,1
Morocco,4,4,447,20,8,2
Mozambique,4,2,783,12,10,5
Nauru,6,2,0,0,10,1
Nepal,5,1,140,16,10,4
Netherlands,3,1,41,14,6,1
Netherlands-Antilles,1,4,0,0,6,1
New-Zealand,6,2,268,2,1,1
Nicaragua,1,4,128,3,2,0
Niger,4,1,1267,5,3,2
Nigeria,4,1,925,56,10,2
Niue,6,3,0,0,1,1
North-Korea,5,1,121,18,10,6
North-Yemen,5,1,195,9,8,2
Norway,3,1,324,4,6,1
Oman,5,1,212,1,8,2
Pakistan,5,1,804,84,6,2
Panama,2,4,76,2,2,0
Papua-New-Guinea,6,2,463,3,1,5
Parguay,2,3,407,3,2,0
Peru,2,3,1285,14,2,0
Philippines,6,1,300,48,10,0
Poland,3,1,313,36,5,6
Portugal,3,4,92,10,6,0
Puerto-Rico,1,4,9,3,2,0
Qatar,5,1,11,0,8,2
Romania,3,1,237,22,6,6
Rwanda,4,2,26,5,10,5
San-Marino,3,1,0,0,6,0
Sao-Tome,4,1,0,0,6,0
Saudi-Arabia,5,1,2150,9,8,2
Senegal,4,4,196,6,3,2
Seychelles,4,2,0,0,1,1
Sierra-Leone,4,4,72,3,1,5
Singapore,5,1,1,3,7,3
Soloman-Islands,6,2,30,0,1,1
Somalia,4,1,637,5,10,2
South-Africa,4,2,1221,29,6,1
South-Korea,5,1,99,39,10,7
South-Yemen,5,1,288,2,8,2
Spain,3,4,505,38,2,0
Sri-Lanka,5,1,66,15,10,3
St-Helena,4,3,0,0,1,1
St-Kitts-Nevis,1,4,0,0,1,1
St-Lucia,1,4,0,0,1,1
St-Vincent,1,4,0,0,1,1
Sudan,4,1,2506,20,8,2
Surinam,2,4,63,0,6,1
Swaziland,4,2,17,1,10,1
Sweden,3,1,450,8,6,1
Switzerland,3,1,41,6,4,1
Syria,5,1,185,10,8,2
Taiwan,5,1,36,18,7,3
Tanzania,4,2,945,18,10,5
Thailand,5,1,514,49,10,3
Togo,4,1,57,2,3,7
Tonga,6,2,1,0,10,1
Trinidad-Tobago,2,4,5,1,1,1
Tunisia,4,1,164,7,8,2
Turkey,5,1,781,45,9,2
Turks-Cocos-Islands,1,4,0,0,1,1
Tuvalu,6,2,0,0,1,1
UAE,5,1,84,1,8,2
Uganda,4,1,236,13,10,5
UK,3,4,245,56,1,1
Uruguay,2,3,178,3,2,0
US-Virgin-Isles,1,4,0,0,1,1
USA,1,4,9363,231,1,1
USSR,5,1,22402,274,5,6
Vanuatu,6,2,15,0,6,1
Vatican-City,3,1,0,0,6,0
Venezuela,2,4,912,15,2,0
Vietnam,5,1,333,60,10,6
Western-Samoa,6,3,3,0,1,1
Yugoslavia,3,1,256,22,6,6
Zaire,4,2,905,28,10,5
Zambia,4,2,753,6,10,5
Zimbabwe,4,2,391,8,10,5
